,車種,車次,始發站,終點站,出發時間,抵達時間,行駛時間,經由,詳細資訊,全票,孩童票,敬老票,訂票
0,區間快,2005,七堵,彰化,05:24,07:55,2 小時 31 分,山線,詳細,$ 241,$ 121,$ 121,
1,區間,2133,基隆,嘉義,05:48,09:23,3 小時 35 分,山線,詳細,$ 241,$ 121,$ 121,
2,自強3000,161,七堵,臺東,06:03,08:03,2 小時 0 分,山線,詳細,$ 375,$ 188,$ 188,訂票
3,自強,105,基隆,屏東,07:00,09:18,2 小時 18 分,山線,詳細,$ 375,$ 188,$ 188,訂票
4,區間,2143,基隆,嘉義,07:05,10:20,3 小時 15 分,山線,詳細,$ 241,$ 121,$ 121,
5,普悠瑪,111,南港,枋寮,08:00,09:38,1 小時 38 分,山線,詳細,$ 375,$ 188,$ 188,訂票
6,區間,2153,基隆,嘉義,08:03,11:28,3 小時 25 分,山線,詳細,$ 241,$ 121,$ 121,
7,自強,113,七堵,屏東,08:28,10:39,2 小時 11 分,山線,詳細,$ 375,$ 188,$ 188,訂票
8,自強,115,基隆,屏東,09:00,11:18,2 小時 18 分,山線,詳細,$ 375,$ 188,$ 188,訂票
9,區間,2163,基隆,嘉義,09:06,12:30,3 小時 24 分,山線,詳細,$ 241,$ 121,$ 121,
10,普悠瑪,131,南港,潮州,10:00,11:38,1 小時 38 分,山線,詳細,$ 375,$ 188,$ 188,訂票
11,區間,2173,基隆,嘉義,10:05,13:20,3 小時 15 分,山線,詳細,$ 241,$ 121,$ 121,
12,自強3000,117,基隆,潮州,10:20,12:24,2 小時 4 分,山線,詳細,$ 375,$ 188,$ 188,訂票
13,自強,121,七堵,屏東,11:00,13:15,2 小時 15 分,山線,詳細,$ 375,$ 188,$ 188,訂票
14,區間,2183,基隆,嘉義,11:06,14:18,3 小時 12 分,山線,詳細,$ 241,$ 121,$ 121,
15,自強,123,七堵,屏東,11:58,14:13,2 小時 15 分,山線,詳細,$ 375,$ 188,$ 188,訂票
16,區間,2193,基隆,嘉義,12:03,15:29,3 小時 26 分,山線,詳細,$ 241,$ 121,$ 121,
17,普悠瑪,271,花蓮,彰化,12:45,14:36,1 小時 51 分,山線,詳細,$ 375,$ 188,$ 188,訂票
18,區間,2203,基隆,嘉義,12:51,16:21,3 小時 30 分,山線,詳細,$ 241,$ 121,$ 121,
19,自強,125,七堵,屏東,12:58,15:19,2 小時 21 分,山線,詳細,$ 375,$ 188,$ 188,訂票
20,普悠瑪,165,南港,臺東,13:30,15:08,1 小時 38 分,山線,詳細,$ 375,$ 188,$ 188,訂票
21,區間,2213,基隆,嘉義,13:51,17:20,3 小時 29 分,山線,詳細,$ 241,$ 121,$ 121,
22,自強,129,基隆,枋寮,14:00,16:11,2 小時 11 分,山線,詳細,$ 375,$ 188,$ 188,訂票
23,自強,135,七堵,屏東,15:00,17:14,2 小時 14 分,山線,詳細,$ 375,$ 188,$ 188,訂票
24,區間,2223,基隆,嘉義,15:14,18:35,3 小時 21 分,山線,詳細,$ 241,$ 121,$ 121,
25,普悠瑪,273,花蓮,彰化,15:45,17:23,1 小時 38 分,山線,詳細,$ 375,$ 188,$ 188,訂票
26,自強,175,花蓮,潮州,16:00,18:15,2 小時 15 分,山線,詳細,$ 375,$ 188,$ 188,訂票
27,區間,2233,瑞芳,嘉義,16:04,19:26,3 小時 22 分,山線,詳細,$ 241,$ 121,$ 121,
28,自強,139,七堵,潮州,17:00,19:15,2 小時 15 分,山線,詳細,$ 375,$ 188,$ 188,訂票
29,區間,2243,瑞芳,嘉義,17:04,20:35,3 小時 31 分,山線,詳細,$ 241,$ 121,$ 121,
30,自強,141,七堵,潮州,17:29,19:51,2 小時 22 分,山線,詳細,$ 375,$ 188,$ 188,訂票
31,自強,177,花蓮,斗南,17:40,20:20,2 小時 40 分,山線,詳細,$ 375,$ 188,$ 188,訂票
32,自強3000,143,七堵,潮州,18:00,19:46,1 小時 46 分,山線,詳細,$ 375,$ 188,$ 188,訂票
33,自強3000,477,臺東,員林,18:25,20:30,2 小時 5 分,山線,詳細,$ 375,$ 188,$ 188,訂票
34,區間快,2037,七堵,臺中,18:45,21:20,2 小時 35 分,山線,詳細,$ 241,$ 121,$ 121,
35,自強,149,基隆,潮州,19:00,21:14,2 小時 14 分,山線,詳細,$ 375,$ 188,$ 188,訂票
36,自強,181,花蓮,屏東,19:30,21:42,2 小時 12 分,山線,詳細,$ 375,$ 188,$ 188,訂票
37,自強3000,283,壽豐,斗六,20:15,22:10,1 小時 55 分,山線,詳細,$ 375,$ 188,$ 188,訂票
38,自強,155,七堵,彰化,21:00,23:18,2 小時 18 分,山線,詳細,$ 375,$ 188,$ 188,訂票
